Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Absolute low,Absolute high,Answers,Members,Allow decimals,Units,_version:1,_order:1500
,,forms.assessment.woundSpecific.woundLocation,Location,,Question,Coded,,,clinical.woundSpecific.woundLocation.head;clinical.woundSpecific.woundLocation.thorax;clinical.woundSpecific.woundLocation.abdomen;clinical.woundSpecific.woundLocation.pelvic;clinical.woundSpecific.woundLocation.buttocks;clinical.woundSpecific.woundLocation.arm;clinical.woundSpecific.woundLocation.hand;clinical.woundSpecific.woundLocation.leg;clinical.woundSpecific.woundLocation.foot,,,,,
,,forms.assessment.woundSpecific.woundLocation.leftRight,Left/Right,,Question,Coded,,,clinical.woundSpecific.woundLocation.left;clinical.woundSpecific.woundLocation.right,,,,,
,,forms.assessment.woundSpecific.mucosaeJoint,Mucosae/Joint,,Question,Coded,,,clinical.woundSpecific.mucosaeJoint.mucosae;clinical.woundSpecific.mucosaeJoint.joint,,,,,
,,forms.assessment.woundSpecific.type,Type of wound,,Question,Coded,,,clinical.woundSpecific.type.surgical;clinical.woundSpecific.type.traumatic;clinical.woundSpecific.type.chronic;clinical.woundSpecific.type.ostomies;clinical.woundSpecific.type.burnsChemical;clinical.woundSpecific.type.otherAnswer,,,,,
,,forms.assessment.woundSpecific.infection,Infection,,Question,Coded,,,clinical.woundSpecific.infection.healing;clinical.woundSpecific.infection.nonHealing;clinical.woundSpecific.infection.foreignBody,,,,,
,,forms.assessment.woundSpecific.tissue,Tissue,,Question,Coded,,,clinical.woundSpecific.tissue.granulation;clinical.woundSpecific.tissue.epithelialization;clinical.woundSpecific.tissue.fibrin;clinical.woundSpecific.tissue.necrosis;clinical.woundSpecific.tissue.hypergranulation;clinical.woundSpecific.tissue.na,,,,,
,,forms.assessment.woundSpecific.moisture.excudate,Excudate,,Question,Coded,,,clinical.woundSpecific.moisture.excudate.plus;clinical.woundSpecific.moisture.excudate.plusplus;clinical.woundSpecific.moisture.excudate.plusplusplus,,,,,
,,forms.assessment.woundSpecific.moisture.type,Type,,Question,Coded,,,clinical.woundSpecific.moisture.type.serous;clinical.woundSpecific.moisture.type.fibrinous;clinical.woundSpecific.moisture.type.pus;clinical.woundSpecific.moisture.type.serosanguinous;clinical.woundSpecific.moisture.type.seropurulent;clinical.woundSpecific.moisture.type.purulent;clinical.woundSpecific.moisture.type.haemopurulent;clinical.woundSpecific.moisture.type.haemorrhagic,,,,,
,,forms.assessment.woundSpecific.moisture,Moisture,,ConvSet,N/A,,,,forms.assessment.woundSpecific.moisture.excudate;forms.assessment.woundSpecific.moisture.type,,,,
,,forms.assessment.woundSpecific.periwound,Periwound,,Question,Coded,,,clinical.woundSpecific.periwound.healthy;clinical.woundSpecific.periwound.dry;clinical.woundSpecific.periwound.macerated;clinical.woundSpecific.periwound.eczema;clinical.woundSpecific.periwound.oedema;clinical.woundSpecific.periwound.excoriation;clinical.woundSpecific.periwound.callus;clinical.woundSpecific.periwound.hyperkeratosis;clinical.woundSpecific.periwound.otherAnswer,,,,,
,,forms.assessment.woundSpecific.edges,Edges,,Question,Coded,,,clinical.woundSpecific.edges.normal;clinical.woundSpecific.edges.maceration;clinical.woundSpecific.edges.undermining;clinical.woundSpecific.edges.keratinized;clinical.woundSpecific.edges.irritated;clinical.woundSpecific.edges.rolled_in;clinical.woundSpecific.edges.rolled_out;clinical.woundSpecific.edges.callus;clinical.woundSpecific.edges.dehydration,,,,,
,,forms.assessment.woundSpecific.size,Size,,ConvSet,N/A,,,,clinical.woundSpecific.size.length;clinical.woundSpecific.size.width;clinical.woundSpecific.size.depth,,,,
,,forms.assessment.woundSpecific.medicalnote,Medical Notes,,Question,Text,,,,,,,,,,,,
,,forms.assessment.woundSpecific,Wound Specific,,ConvSet,N/A,,,,clinical.woundSpecific.woundNumber;forms.assessment.woundSpecific.woundLocation;forms.assessment.woundSpecific.woundLocation.leftRight;forms.assessment.woundSpecific.mucosaeJoint;clinical.woundSpecific.date;forms.assessment.woundSpecific.type;clinical.woundSpecific.type.other;forms.assessment.woundSpecific.size;forms.assessment.woundSpecific.tissue;forms.assessment.woundSpecific.infection;forms.assessment.woundSpecific.moisture;forms.assessment.woundSpecific.edges;forms.assessment.woundSpecific.periwound;clinical.woundSpecific.periwound.other;forms.assessment.woundSpecific.medicalnote,,,,
,,forms.assessment,Assessment,,ConvSet,N/A,,,,forms.assessment.woundSpecific,,,,
