Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Absolute low,Absolute high,Answers,Members,Allow decimals,Units,_version:1,_order:1500
,,forms.follow_up.woundSpecific.moisture.excudate,Excudate,,Question,Coded,,,clinical.woundSpecific.moisture.excudate.plus;clinical.woundSpecific.moisture.excudate.plusplus;clinical.woundSpecific.moisture.excudate.plusplusplus,,,,,
,,forms.follow_up.woundSpecific.moisture.type,Type,,Question,Coded,,,clinical.woundSpecific.moisture.type.serous;clinical.woundSpecific.moisture.type.fibrinous;clinical.woundSpecific.moisture.type.pus;clinical.woundSpecific.moisture.type.serosanguinous;clinical.woundSpecific.moisture.type.seropurulent;clinical.woundSpecific.moisture.type.purulent;clinical.woundSpecific.moisture.type.haemopurulent;clinical.woundSpecific.moisture.type.haemorrhagic,,,,,
,,forms.follow_up.woundSpecific.moisture,Moisture,,ConvSet,N/A,,,,forms.follow_up.woundSpecific.moisture.excudate;forms.follow_up.woundSpecific.moisture.type,,,,
,,forms.follow_up.woundSpecific.edges,Edges,,Question,Coded,,,clinical.woundSpecific.edges.normal;clinical.woundSpecific.edges.maceration;clinical.woundSpecific.edges.undermining;clinical.woundSpecific.edges.keratinized;clinical.woundSpecific.edges.irritated;clinical.woundSpecific.edges.rolled_in;clinical.woundSpecific.edges.rolled_out;clinical.woundSpecific.edges.callus;clinical.woundSpecific.edges.dehydration,,,,,
,,forms.follow_up.woundSpecific.periwound,Periwound,,Question,Coded,,,clinical.woundSpecific.periwound.healthy;clinical.woundSpecific.periwound.dry;clinical.woundSpecific.periwound.macerated;clinical.woundSpecific.periwound.eczema;clinical.woundSpecific.periwound.oedema;clinical.woundSpecific.periwound.excoriation;clinical.woundSpecific.periwound.callus;clinical.woundSpecific.periwound.hyperkeratosis;clinical.woundSpecific.periwound.otherAnswer,,,,,
,,forms.follow_up.woundSpecific.wound_cleansing,Wound cleansing,,Question,Coded,,,clinical.woundSpecific.wound_cleansing.mechanically;clinical.woundSpecific.wound_cleansing.irrigation;clinical.woundSpecific.wound_cleansing.soap_rinse,,,,,
,,forms.follow_up.woundSpecific.skin_cleansing,Skin cleansing,,Question,Coded,,,clinical.woundSpecific.skin_cleansing.nacl;clinical.woundSpecific.skin_cleansing.neutral_liquid_soap,,,,,
,,forms.follow_up.woundSpecific.wound_disinfection,Disinfection,,Question,Coded,,,clinical.woundSpecific.wound_disinfection.anqueous_solution;clinical.woundSpecific.wound_disinfection.gel;clinical.woundSpecific.wound_disinfection.Other,,,,,
,,forms.follow_up.woundSpecific.dressing.absorbent_dressing_size,Absorbent Dressing Size,,Question,Coded,,,size.small;size.medium;size.large,,,,,
,,forms.follow_up.woundSpecific.dressing.absorbent_dressing_size.size,Size,,ConvSet,N/A,,,,forms.follow_up.woundSpecific.dressing.absorbent_dressing_size,,,,
,,forms.follow_up.woundSpecific.dressing,Dressing,,Question,Coded,,,clinical.woundSpecific.dressing.hydrogel;clinical.woundSpecific.dressing.sulfadiazine_silver_cream;clinical.woundSpecific.dressing.hydrocortison;clinical.woundSpecific.dressing.silver_nitrate;clinical.woundSpecific.dressing.paraffin_gauzes;clinical.woundSpecific.dressing.non_woven_sterile_gauzes;clinical.woundSpecific.dressing.absorbent_dressing,,,,,
,,forms.follow_up.woundSpecific.periwound_protection,Periwound Protection,,Question,Coded,,,clinical.woundSpecific.periwound_protection.no;clinical.woundSpecific.periwound_protection.zinc_oxid;clinical.woundSpecific.periwound_protection.other,,,,,
