Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,Allow decimals,Units,_version:1,_order:1200
,,reg.province.kunduz,Kunduz,,Misc,N/A,,,,,,
,,reg.province.badakshan,Badakshan,,Misc,N/A,,,,,,
,,reg.province.takhar,Takhar,,Misc,N/A,,,,,,
,,reg.province.baghlan,Baghlan,,Misc,N/A,,,,,,
,,reg.province.samangan,Samangan,,Misc,N/A,,,,,,
,,reg.province.mazar_e_shrif,Mazar-e-Shrif,,Misc,N/A,,,,,,
,,reg.province.other,Other,,Misc,N/A,,,,,,
4b86433a-075d-4b91-a438-42d58e8496ad,,reg.province,Province,,Misc,Coded,reg.province.kunduz;reg.province.badakshan;reg.province.takhar;reg.province.baghlan;reg.province.samangan;reg.province.mazar_e_shrif;reg.province.other,,,,,
,,reg.district.kunduz,Kunduz,,Misc,N/A,,,,,,
,,reg.district.chardara,Chardara,,Misc,N/A,,,,,,
,,reg.district.khanabad,Khanabad,,Misc,N/A,,,,,,
,,reg.district.aliabad,Aliabad,,Misc,N/A,,,,,,
,,reg.district.dasht_e_archi,Dasht-e-Archi,,Misc,N/A,,,,,,
,,reg.district.imam_sahib,Imam Sahib,,Misc,N/A,,,,,,
,,reg.district.qalaizal,Qalaizal,,Misc,N/A,,,,,,
fb162989-1dab-44d9-a1e3-a03e26f70606,,reg.district,District,,Misc,Coded,reg.district.kunduz;reg.district.chardara;reg.district.khanabad;reg.district.aliabad;reg.district.dasht_e_archi;reg.district.imam_sahib;reg.district.qalaizal,,,,,
cc5a3819-b356-46ac-a4af-94e0e44a5faf,,reg.followupStatus.received_call,Received call,,Misc,N/A,,,,,,
c5ec7123-a8e5-4610-9dae-da1fd77fbbdc,,reg.followupStatusOne,Follow-up status 1,,Misc,Coded,reg.followupStatus.received_call;forms.discharge.reasonLostFU.reported_healed;forms.discharge.reasonLostFU.no_phone;forms.discharge.reasonLostFU.contact_failed;forms.discharge.reasonLostFU.access_problems;forms.discharge.reasonLostFU.notSatisfied;forms.discharge.reasonLostFU.other,,,,,
04f95f22-421f-4eab-b7c9-003f87a37f08,,reg.followupStatusTwo,Follow-up status 2,,Misc,Coded,reg.followupStatus.received_call;forms.discharge.reasonLostFU.reported_healed;forms.discharge.reasonLostFU.no_phone;forms.discharge.reasonLostFU.contact_failed;forms.discharge.reasonLostFU.access_problems;forms.discharge.reasonLostFU.notSatisfied;forms.discharge.reasonLostFU.other,,,,,
885c2275-e86a-4463-bf2d-fdd8d249cf30,,reg.followupStatusThree,Follow-up status 3,,Misc,Coded,reg.followupStatus.received_call;forms.discharge.reasonLostFU.reported_healed;forms.discharge.reasonLostFU.no_phone;forms.discharge.reasonLostFU.contact_failed;forms.discharge.reasonLostFU.access_problems;forms.discharge.reasonLostFU.notSatisfied;forms.discharge.reasonLostFU.other,,,,,
